name,population,year
Brgy. 1,3587,2000
Brgy. 2,1855,2000
Brgy. 3,1479,2000
Brgy. 4,3734,2000
Brgy. 5,3295,2000
Brgy. 6,944,2000
Brgy. 7,2325,2000
Brgy. 8,3697,2000
Brgy. 9,4499,2000
Brgy. 10,4612,2000
Brgy. 11,1546,2000
Barra,3347,2000
Bocohan,3347,2000
Cotta,16020,2000
Dalahican,17283,2000
Domoit,1678,2000
Gulang-Gulang,23537,2000
Ibabang Dupay,21255,2000
Ibabang Iyam,16237,2000
Ibabang Talim,3644,2000
Ilayang Dupay,957,2000
Ilayang Iyam,9757,2000
Ilayang Talim,1262,2000
Isabang,8641,2000
Marketview,10053,2000
Mayao Castillo,2407,2000
Mayao Crossing,5214,2000
Mayao Kanluran,6527,2000
Mayao Parada,2834,2000
Mayao Silangan,5681,2000
Ransohan,1293,2000
Salinas,1262,2000
Talao-Talao,2266,2000
Brgy. 1,2764,2010
Brgy. 2,1621,2010
Brgy. 3,1220,2010
Brgy. 4,3488,2010
Brgy. 5,2931,2010
Brgy. 6,805,2010
Brgy. 7,2543,2010
Brgy. 8,4079,2010
Brgy. 9,4409,2010
Brgy. 10,5259,2010
Brgy. 11,1902,2010
Barra,3907,2010
Bocohan,4195,2010
Cotta,20119,2010
Dalahican,21356,2010
Domoit,4007,2010
Gulang-Gulang,27512,2010
Ibabang Dupay,29800,2010
Ibabang Iyam,22593,2010
Ibabang Talim,2855,2010
Ilayang Dupay,1954,2010
Ilayang Iyam,12170,2010
Ilayang Talim,1537,2010
Isabang,10153,2010
Marketview,11547,2010
Mayao Castillo,2849,2010
Mayao Crossing,11522,2010
Mayao Kanluran,9516,2010
Mayao Parada,3015,2010
Mayao Silangan,8324,2010
Ransohan,1530,2010
Salinas,1544,2010
Talao-Talao,3366,2010
Brgy. 1,2874,2015
Brgy. 2,1640,2015
Brgy. 3,1238,2015
Brgy. 4,3399,2015
Brgy. 5,3055,2015
Brgy. 6,914,2015
Brgy. 7,2701,2015
Brgy. 8,4399,2015
Brgy. 9,4250,2015
Brgy. 10,5597,2015
Brgy. 11,1803,2015
Barra,4703,2015
Bocohan,5042,2015
Cotta,21182,2015
Dalahican,22676,2015
Domoit,4635,2015
Gulang-Gulang,28644,2015
Ibabang Dupay,31867,2015
Ibabang Iyam,25718,2015
Ibabang Talim,3367,2015
Ilayang Dupay,2123,2015
Ilayang Iyam,12679,2015
Ilayang Talim,1861,2015
Isabang,11218,2015
Marketview,11983,2015
Mayao Castillo,3073,2015
Mayao Crossing,12352,2015
Mayao Kanluran,11241,2015
Mayao Parada,3742,2015
Mayao Silangan,8849,2015
Ransohan,1540,2015
Salinas,1724,2015
Talao-Talao,4159,2015
Brgy. 1,2584,2020
Brgy. 2,1195,2020
Brgy. 3,1149,2020
Brgy. 4,2910,2020
Brgy. 5,2375,2020
Brgy. 6,650,2020
Brgy. 7,2229,2020
Brgy. 8,4001,2020
Brgy. 9,3403,2020
Brgy. 10,5152,2020
Brgy. 11,2025,2020
Barra,5389,2020
Bocohan,6362,2020
Cotta,21603,2020
Dalahican,25346,2020
Domoit,5528,2020
Gulang-Gulang,28405,2020
Ibabang Dupay,28119,2020
Ibabang Iyam,28078,2020
Ibabang Talim,3815,2020
Ilayang Dupay,2444,2020
Ilayang Iyam,12170,2020
Ilayang Talim,2279,2020
Isabang,14013,2020
Marketview,12533,2020
Mayao Castillo,2911,2020
Mayao Crossing,17106,2020
Mayao Kanluran,12962,2020
Mayao Parada,3996,2020
Mayao Silangan,9336,2020
Ransohan,1701,2020
Salinas,1921,2020
Talao-Talao,5234,2020
Brgy. 1,2346,2024
Brgy. 2,944,2024
Brgy. 3,741,2024
Brgy. 4,2997,2024
Brgy. 5,2749,2024
Brgy. 6,863,2024
Brgy. 7,1515,2024
Brgy. 8,3337,2024
Brgy. 9,3206,2024
Brgy. 10,3835,2024
Brgy. 11,1785,2024
Barra,5806,2024
Bocohan,7167,2024
Cotta,20833,2024
Dalahican,26985,2024
Domoit,5764,2024
Gulang-Gulang,26030,2024
Ibabang Dupay,27847,2024
Ibabang Iyam,29480,2024
Ibabang Talim,4155,2024
Ilayang Dupay,2857,2024
Ilayang Iyam,10975,2024
Ilayang Talim,2363,2024
Isabang,13909,2024
Marketview,10997,2024
Mayao Castillo,3821,2024
Mayao Crossing,19739,2024
Mayao Kanluran,14344,2024
Mayao Parada,4045,2024
Mayao Silangan,9435,2024
Ransohan,1874,2024
Salinas,2005,2024
Talao-Talao,5582,2024
